Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210432,Flint Avenue,05/29/2021 2134 hours,05/29/2021 2134 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious license, which occurred in the 1000 block of Flint Avenue following a traffic stop. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
210431,Off Campus,05/29/2021 1903 hours,05/29/2021 1903 hours,"An officer arrested  a non-student for an outstanding Hale County warrant, which occurred off-campus (6002 Slide Road) while the officer was working off-duty employment. The non-student was issued a Lubbock County citation for theft and transported to the Lubbock County Jail.",Cleared By Arrest,General theft
210430,C1 South Parking Lot,05/29/2021 1748 hours,05/29/2021 1748 hours,"An officer arrested  a non-student for possession of a controlled substance (methamphetamine), possession of debit/credit card information, and a parole violation warrant, which occurred in the C1 parking lot. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail. A second non-student was also issued a criminal trespass warning for all Texas Tech property.",Cleared By Arrest,Possession of drug paraphernalia
210429,4th Street,05/29/2021 0408 hours,05/29/2021 0408 hours,"An officer arrested  a non-student for two capias Lubbock County Sheriff's Department warrants, which occurred in the 3900 block of 4th Street following a traffic stop. The non-student was transported to the Lubbock County Jail and the non-students vehicle was released to non-student passenger.",Cleared By Arrest,UNDEFINED
210428,"Credit Union, Texas Tech Federal",05/28/2021 1646 hours,05/28/2021 1230 hours,"An officer documented information in reference to disorderly patron, which occurred at the Texas Tech Federal Credit Union.",Incident Report - Case Closed,UNDEFINED
210427,R27 Parking Lot,05/28/2021 1429 hours,Between05/25/2021 160005/25/2021 1700,"An officer investigated duty on striking an unattended vehicle, which occurred in the R27 parking lot. A staff member's vehicle was damaged by a University vehicle. [7/1/2021] A suspect was identified, and the victim  signed a decline to prosecute affidavit.",Cleared By Case Presentment,Striking of unattended vehicle
210426,University Avenue,05/28/2021 0230 hours,05/28/2021 0230 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana and issued a Lubbock County citation for no driver license, which occurred in the 300 block of University Avenue, following a traffic stop. The non-student's vehicle was released to a licensed driver.",Cleared By Arrest,Possession of drug paraphernalia
210425,4th Street,05/27/2021 1431 hours,05/27/2021 1431 hours,"An officer documented information in reference to assisting another agency (Lubbock  Police Department), which occurred at 4th Street and Flint Avenue.",Incident Report - Case Closed,UNDEFINED
210424,Drive of Champions,05/24/2021 0509 hours,05/24/2021 0509 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred in the 2700 block of Drive of Champions.",Incident Report - Case Closed,Criminal trespass
210423,14th Street,05/23/2021 1522 hours,05/23/2021 1522 hours,"An officer released  a non-student, pending the filing of charges, for driving while license  invalid, following a traffic stop in the 4300 block of 14th Street. The  non-student's vehicle was left legally parked.",Cleared By Arrest,UNDEFINED
210422,"Business, Rawls College of",05/23/2021 1136 hours,05/23/2021 1136 hours,"An officer arrested  a non-student for public intoxication and criminal trespass, which occurred at the Rawls College of Business. The non-student was re-issued  a criminal trespass warning for all Texas Tech property and transported  to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210421,Red Raider Avenue,05/22/2021 1228 hours,05/22/2021 1228 hours,"An officer arrested  a non-student for criminal trespass, which occurred in the 700 block of  Red Raider Avenue. The non-student was re-issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210420,R3 Parking Lot,05/21/2021 2046 hours,05/21/2021 2046 hours,"An officer investigated assault, which occurred in the R3 parking lot. A student was struck with a water balloon. [6/10/2021] Follow up investigation revealed video evidence which supported the incident did not meet the elements of a criminal offense.",Unfounded,Assault
210418,Greenhouse & Horticultural Garden,05/19/2021 2048 hours,Between05/08/2021 130005/19/2021 2030,"An officer investigated theft, which occurred at the bicycle racks at the Horticultural Greenhouse. A secured bicycle was stolen.",Open Inactive,Bike theft
210417,Texas Tech Parkway,05/19/2021 1740 hours,05/19/2021 1740 hours,"An officer investigated a traffic accident, without injuries, which occurred at Texas Tech Parkway and Indiana Avenue.",Incident Report - Case Closed,Vehicle accident
210416,Experimental Sciences II,05/17/2021 0827 hours,05/16/2021 0249 hours,"An officer investigated criminal mischief, which occurred at the Experimental Sciences II building. Computer monitors were damaged.",Open Inactive,Criminal mischief
210415,Main Street,05/16/2021 1600 hours,05/16/2021 1600 hours,"An officer arrested  a non-student for possession of a controlled substance (methamphetamine), possession of drug paraphernalia and outstanding Lubbock County Sheriff's Office warrants, which occurred in the 2500 block of Main Street. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210414,Z4P Parking Lot,05/15/2021 1906 hours,05/15/2021 1906 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred in the Z4-P parking lot. The non-student signed the warning and was released.",Incident Report - Case Closed,Criminal trespass
210413,C4 Parking Lot,05/14/2021 1837 hours,Between05/14/2021 161505/14/2021 1830,"An officer investigated burglary of a motor vehicle, which occurred in the C-4 parking lot. Items were stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
210411,Carpenter/Wells Complex,05/14/2021 1157 hours,05/14/2021 1157 hours,"An officer documented information in reference to found contraband, which occurred at Carpenter/Wells Residence Hall.",Incident Report - Case Closed,UNDEFINED
210410,Red Raider Avenue,05/13/2021 1948 hours,05/13/2021 1948 hours,"An officer arrested  a non-student for possession of a controlled substance (methamphetamine), which occurred in the 600 block of Red Raider Avenue (R38 parking lot), following an investigatory stop. The non-student was also arrested for several outstanding Lubbock Municipal and Lubbock County warrants. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210409,Physical Plant,05/13/2021 1053 hours,Between05/12/2021 164505/13/2021 1000,"An officer investigated burglary of a motor vehicle, which occurred in the Physical  Plant parking lot. Unsecured vehicles had tools stolen from them.",Open Inactive,Burgalry of a motor vehicle
210408,Z4M Parking Lot,05/12/2021 1631 hours,05/12/2021 1631 hours,"An officer arrested  one student and one non-student for outstanding Lubbock County Sheriff's Office capias warrants, which occurred in the Z4-M parking lot. Both individuals were issued Lubbock County citations for possession of drug paraphernalia, and the non-student was issued a criminal trespass warning for all Texas Tech property. Both individuals were transported to the Lubbock County Jail, and the non-student's vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210407,National Wind Institute,05/12/2021 1114 hours,Between08/24/2020 130002/22/2021 1200,"An officer investigated criminal mischief, which occurred at the National Wind Institute Building. A door was damaged.",Open Inactive,Criminal mischief
210406,Biology,05/12/2021 1030 hours,Between04/20/2021 080005/11/2021 1700,"An officer investigated theft, which occurred at the east bicycle racks at the Biology Building. A secured bicycle was stolen.",Open Inactive,Bike theft
210405,Coleman Res. Hall,05/11/2021 2334 hours,05/11/2021 2334 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred at Coleman Residence Hall. The student was also issued a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210404,Murray Res. Hall,05/11/2021 0756 hours,05/10/2021 2305 hours,"An officer investigated theft, which occurred at Murray Residence Hall. Miscellaneous donation items were stolen.",Open Active,General theft
210403,West Village A Res. Hall,05/11/2021 0013 hours,05/11/2021 0013 hours,"An officer investigated assault (family violence), which occurred at West Village A  Residence Hall. A student assaulted a non-student family member.",Cleared By Case Presentment,Assault
210401,Murdough Res. Hall,05/10/2021 1305 hours,Between04/10/2021 140005/09/2021 1200,"An officer investigated theft, which occurred at the west bicycle racks at Murdough  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210400,Gates Res. Hall,05/10/2021 1254 hours,Between05/05/2021 120005/10/2021 1240,"An officer investigated theft, which occurred at the northwest bicycle racks at Gates Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210399,"Lake Landmark, Lubbock",05/10/2021 1029 hours,Between05/07/2021 170005/08/2021 1730,"An officer investigated theft, which occurred at the Lubbock Lake Landmark. Miscellaneous tools and university vehicle assigned credit cards were stolen from a secured shed.",Open Inactive,General theft
210398,Off Campus,05/08/2021 1958 hours,05/08/2021 1958 hours,"An officer issued two juveniles Lubbock County citations for theft, which occurred at the South Plains Mall, Dillard’s Department Store, while working off-duty employment. The juveniles were released to their parents.",Cleared By Arrest,General theft
210397,Wall Res. Hall,05/08/2021 1622 hours,05/08/2021 1622 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Wall Residence Hall.",Incident Report - Case Closed,Welfare check
210396,C1 North Parking Lot,05/07/2021 2002 hours,Between05/07/2021 173005/07/2021 1955,"An officer investigated criminal mischief, which occurred in the C-1 parking lot. A vehicle's windows were damaged.",Open Inactive,Criminal mischief
210395,Transportation & Parking Services,05/07/2021 1151 hours,05/07/2021 1150 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred at Transportation & Parking Services.",Incident Report - Case Closed,Criminal trespass
210394,Knapp Res. Hall,05/07/2021 1112 hours,Between05/06/2021 100005/07/2021 1030,"An officer investigated theft, which occurred at the west bike rack at Knapp Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210393,Murray Res. Hall,05/06/2021 1559 hours,Between05/03/2021 120005/06/2021 1559,"An officer investigated theft, which occurred at the south bicycle racks at Murray Residence Hall. An unsecured bicycle was stolen.",Open Inactive,Bike theft
210392,19th Street,05/05/2021 2326 hours,05/05/2021 2326 hours,"An officer arrested  a non-student for driving while intoxicated, which occurred at the intersection of 19th Street and Boston Avenue. The non-student was also  arrested for unlawful carrying of a weapon. The non-student was transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210391,19th Street,05/05/2021 2309 hours,05/05/2021 2309 hours,"An officer investigated a traffic accident, with minor injuries, which occurred in the 3000 block of 19th Street. Both vehicles were driven away from the scene.",Incident Report - Case Closed,Vehicle accident
210390,Texas Tech Parkway,05/05/2021 2227 hours,05/05/2021 2227 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 300 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
210389,Z2B Parking Lot,05/05/2021 2045 hours,05/05/2021 2045 hours,"An officer arrested  two students for public intoxication, which occurred in the Z2-B parking lot. One of the students was also issued a Lubbock County citation for possession of alcohol by a minor and possession of drug paraphernalia. Both students were transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210388,Drane Hall,05/05/2021 1447 hours,Between04/12/2021 000005/04/2021 2111,"An officer investigated harassment, which occurred at Drane Hall. A student received unwanted phone calls and messages.",Open Inactive,Harassment
210387,West Village A Res. Hall,05/04/2021 2130 hours,05/04/2021 2130 hours,"An officer released  two students, pending the filing of charges, for possession of marijuana, which occurred at the West Village A Residence Hall. Both students were issued Lubbock County citations for possession of drug paraphernalia. One of the students was issued a criminal trespass warning for West Village and was released, pending the filing of charges, for furnishing alcohol to a minor. A non-student was also criminally trespassed from all Texas Tech property. All were released from the scene.",Cleared By Arrest,Consumption of alcohol by a minor
210386,Horn Res. Hall,05/04/2021 1258 hours,Between04/23/2021 140005/01/2021 2355,"An officer investigated theft, which occurred at the bicycle racks at Horn Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210385,R18 Parking Lot,05/04/2021 0048 hours,05/04/2021 0048 hours,"An officer arrested  a non-student for evading arrest or detention, failure to identify, theft and an outstanding Lubbock County warrant, which occurred in the R18 parking lot. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210384,Off Campus,05/03/2021 1934 hours,05/03/2021 1934 hours,"An officer, while working off-duty employment, investigated fraudulent destruction, removal, or concealment of writings, which occurred at Drug Emporium (5109 82nd Street).",Cleared By Case Presentment,UNDEFINED
210383,Gates Res. Hall,05/03/2021 1535 hours,Between03/03/2021 110003/20/2021 0900,"An officer investigated theft, which occurred at the north bicycle racks at Gates Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210382,Murdough Res. Hall,05/02/2021 1820 hours,Between04/30/2021 130005/02/2021 1430,"An officer investigated theft, which occurred at the south bicycle racks at Murdough Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210381,R18 Parking Lot,05/02/2021 1730 hours,05/02/2021 1730 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred in the R-18 parking lot.",Incident Report - Case Closed,Criminal trespass
210380,Gates Res. Hall,05/01/2021 1850 hours,Between05/01/2021 183905/01/2021 1841,"An officer investigated false alarm or report, which occurred at Gates Residence Hall. [7/19/2021] A suspect was identified during follow up investigation. This case was presented to the Lubbock County District Attorney's Office and the Texas Tech University Office of Student Conduct.",Cleared By Case Presentment,UNDEFINED
210379,Murray Res. Hall,05/01/2021 1450 hours,Between04/18/2021 121505/01/2021 0830,"An officer investigated theft, which occurred at the south bicycle racks at Murray Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210378,West Village B Res. Hall,05/01/2021 0849 hours,Between04/30/2021 150005/01/2021 0800,"An officer investigated theft, which occurred at the west bicycle racks at West Village B Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210377,Coleman Res. Hall,05/01/2021 0014 hours,05/01/2021 0014 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia and possession of alcohol by a minor, which occurred at Coleman Residence Hall. A second student was issued a Lubbock County citation for possession of alcohol by a minor. Both students signed the citations  and were released.",Cleared By Arrest,Consumption of alcohol by a minor
210376,Clement Res. Hall,04/30/2021 1404 hours,Between03/25/2021 000004/20/2021 2359,"An officer investigated credit/debit card abuse, which occurred at Clement Residence Hall.",Open Inactive,UNDEFINED
210375,18th Street,04/30/2021 0954 hours,04/30/2021 0953 hours,"An officer arrested  a student for public intoxication, which occurred in the 2900 block of 18th Street. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210374,Z4R Parking Lot,04/30/2021 0205 hours,04/30/2021 0205 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the Z4-R parking lot. The non-student was also issued a Lubbock County citation for possession of alcohol by minor, possession of drug paraphernalia and possession of a fictitious license. The non-student signed the citation and was released.",Cleared By Arrest,Consumption of alcohol by a minor
210373,Urbanovsky Park,04/30/2021 0027 hours,04/30/2021 0027 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious license, which occurred at Urbanovsky Park. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
210372,Z7A Parking Lot,04/29/2021 2349 hours,04/29/2021 2349 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z7-A parking lot.",Cleared By Case Presentment,Possession of drug paraphernalia
210371,Texas Tech Parkway,04/29/2021 1642 hours,04/29/2021 1642 hours,"An officer investigated a traffic accident, with minor injuries, which occurred in the 500 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
210370,West Hall,04/29/2021 1437 hours,04/29/2021 1437 hours,"An officer documented information in reference to a welfare check on a student, which occurred at West Hall.",Incident Report - Case Closed,Welfare check
210369,Z2D Parking Lot,04/29/2021 1345 hours,Between04/24/2021 170004/24/2021 2100,"An officer investigated burglary of a motor vehicle, which occurred in the Z2-D parking lot. US Currency and personal items were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210367,Stangel Res. Hall,04/29/2021 1235 hours,Between04/29/2021 080004/29/2021 0850,"An officer investigated theft, which occurred at the bicycle racks at Stangel Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210366,Murray Res. Hall,04/29/2021 1125 hours,Between04/28/2021 143004/29/2021 1115,"An officer investigated theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210365,Flint Avenue Parking Garage,04/28/2021 1733 hours,04/28/2021 1733 hours,"An officer documented information in reference to code of student conduct violations, which occurred at the Flint Avenue Parking Garage.",Disciplinary Referral Only,UNDEFINED
210364,Z4P Parking Lot,04/28/2021 1515 hours,Between04/27/2021 220004/28/2021 1230,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z4-P parking lot.",Open Inactive,Striking of unattended vehicle
210363,Honors Res. Hall,04/28/2021 1448 hours,Between04/27/2021 150004/28/2021 1100,"An officer investigated theft, which occurred at the northeast bicycle racks of Honors Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210362,Bledsoe Res. Hall,04/28/2021 1415 hours,Between04/26/2021 032704/26/2021 0328,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210361,Student Union Building,04/28/2021 1117 hours,04/28/2021 1117 hours,"An officer arrested  a non-student for criminal trespass, which occurred at the Student Union Building. The non-student was re-issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210360,Off Campus,04/28/2021 0212 hours,04/28/2021 0212 hours,"An officer arrested  a student for driving while intoxicated, with an open container, which occurred in the 2500 block of 23rd Street. The student was transported to the Lubbock County Jail. The vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210358,Greenhouse & Horticultural Garden,04/27/2021 0812 hours,Between04/22/2021 133004/24/2021 0800,"An officer investigated theft, which occurred at the Horticultural Garden. Two backpacks and miscellaneous tools were stolen. [6/10/2021] Follow up investigation identified four adult and one juvenile suspect after an unrelated stolen vehicle was recovered by the Lubbock Police Department.  Charges were presented to the Lubbock County District Attorney's Office for Theft and Engaging in Organized Criminal Activity.",Cleared By Case Presentment,General theft
210357,Carpenter/Wells Complex,04/26/2021 1853 hours,Between04/25/2021 200004/26/2021 1852,"An officer investigated theft, which occurred at the Carpenter/Wells Complex east bicycle racks. Bicycle parts were stolen from a secured bicycle.",Open Inactive,Bike theft
210356,Flint Avenue,04/26/2021 1714 hours,04/26/2021 1714 hours,"An officer investigated a traffic accident, with minor injuries, which occurred at the intersection of Main Street and Flint Avenue.",Incident Report - Case Closed,Vehicle accident
210355,Murray Res. Hall,04/26/2021 1223 hours,Between04/17/2021 121104/26/2021 0830,"An officer investigated forgery, which occurred at Murray Residence Hall. A student cashed a forged check received from a scam.",Open Active,Forgery
210354,R14 Parking Lot,04/26/2021 0823 hours,Between04/23/2021 080004/23/2021 1230,"An officer investigated theft, which occurred in the R14 parking lot. A leather back seat was stolen from a motorcycle.",Open Inactive,General theft
210353,Z3K Parking Lot,04/26/2021 0055 hours,04/26/2021 0055 hours,"An officer issued a  Lubbock County citation to a student for possession of drug paraphernalia, which occurred in the Z3-K parking lot. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210352,19th Street,04/24/2021 1644 hours,04/24/2021 1644 hours,"An officer arrested  a non-student for driving while license invalid, multiple traffic violations, possession of drug paraphernalia and an outstanding Lubbock Police Department warrant, following a traffic stop in the 3400 block of  19th Street. The non-student was transported to the Lubbock County Jail, and the vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210350,Indiana Avenue,04/24/2021 0038 hours,04/24/2021 0038 hours,"An officer arrested  a student for driving while intoxicated, which occurred in the 3800 block of Erskine Street following an observed traffic violation in the 800 block of Indiana Avenue. The student was transported to the Lubbock  County Jail and the students vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210349,Main Street,04/23/2021 2036 hours,04/23/2021 2036 hours,"An officer issued two students Lubbock County citations for possession of drug paraphernalia, which occurred in the 3200 block of Main Street, following a traffic stop. The students signed the citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
210348,Art Building,04/23/2021 1717 hours,Between04/23/2021 080004/23/2021 1700,"An officer investigated theft, which occurred at the Northeast bicycle racks at the Art building. A secured bicycle was stolen.",Open Inactive,Bike theft
210347,Knapp Res. Hall,04/23/2021 1421 hours,Between04/22/2021 213004/23/2021 1420,"An officer investigated theft, which occurred at the West bicycle racks at Knapp Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210346,Z3M Parking Lot,04/23/2021 1245 hours,Between04/23/2021 010004/23/2021 1030,"An officer investigated criminal mischief, which occurred in the Z3-M parking lot. A vehicle was damaged.",Open Inactive,Criminal mischief
210343,Jones AT&T Stadium (Football),04/22/2021 2106 hours,04/22/2021 2106 hours,"An officer arrested  a student for public intoxication and possession of alcohol by a minor,  which occurred at Jones AT&T stadium. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210342,Coleman Res. Hall,04/22/2021 1145 hours,04/22/2021 1145 hours,"An officer documented information in reference to a welfare check on a student that  was causing a disturbance, which occurred at Coleman Residence Hall. The student was subsequently transported for an evaluation.",Incident Report - Case Closed,Welfare check
210341,Flint Avenue,04/22/2021 0001 hours,04/22/2021 0001 hours,"An officer issued a  non-student a Lubbock County citation for possession of drug paraphernalia, which occurred in the 900 block of Flint Avenue. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210340,Coleman Res. Hall,04/21/2021 1839 hours,04/21/2021 1839 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Coleman Residence Hall.",Incident Report - Case Closed,Welfare check
210339,Hulen Res. Hall,04/21/2021 1549 hours,04/21/2021 1549 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred at Hulen Residence Hall.",Incident Report - Case Closed,Criminal trespass
210337,Psychology,04/20/2021 1721 hours,04/20/2021 1721 hours,"An officer documented information in reference to a welfare check on a student, which occurred at the Psychology building.",Incident Report - Case Closed,Welfare check
210336,Bledsoe Res. Hall,04/20/2021 1003 hours,Between04/19/2021 230004/20/2021 1000,"An officer investigated theft, which occurred at the north bicycle racks at Bledsoe  Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210335,Weymouth Res. Hall,04/20/2021 0516 hours,04/20/2021 0516 hours,"An officer documented information in reference to damaged property, which occurred at Weymouth Residence Hall. A broken water pipe caused water damage to several floors.",Incident Report - Case Closed,General Damaged Property
210334,Gates Res. Hall,04/20/2021 0001 hours,04/20/2021 0001 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana and tampering with evidence, which occurred at Gates Residence Hall. The  student was also issued a Lubbock County citation for possession of drug paraphernalia. A second student was issued a Lubbock County citation for possession of drug paraphernalia. Both students signed their citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
210333,Z2B Parking Lot,04/19/2021 1601 hours,Between04/16/2021 183004/19/2021 1600,"An officer investigated burglary of a motor vehicle, which occurred in the Z2-B parking lot. Sunglasses were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210332,Bledsoe Res. Hall,04/19/2021 1448 hours,Between04/17/2021 200004/19/2021 1315,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210331,Coleman Res. Hall,04/19/2021 1348 hours,Between03/20/2021 140004/19/2021 1200,"An officer investigated theft, which occurred at the bicycle racks at Coleman Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210330,Bledsoe Res. Hall,04/19/2021 1206 hours,Between04/16/2021 170004/19/2021 1030,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A secured bicycle, except for the front tire, was stolen.",Open Inactive,Bike theft
210329,Off Campus,04/19/2021 0726 hours,Between04/18/2021 070004/19/2021 0705,"An officer investigated burglary of a building, which occurred at the Plant and Soil Sciences Research Farm. Several locks were cut to access property and a chain was stolen.",Open Inactive,Building burglary
210328,Bledsoe Res. Hall,04/18/2021 1654 hours,Between04/17/2021 200004/18/2021 1430,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A rear bicycle tire was stolen from a secured bicycle.",Open Inactive,Bike theft
210327,Memorial Circle,04/17/2021 2304 hours,04/17/2021 2304 hours,"An officer documented information in reference to assisting another agency, which occurred at Memorial Circle. Two non-students were located and turned over to the Lubbock Police Department.",Incident Report - Case Closed,UNDEFINED
210326,Z4P Parking Lot,04/17/2021 1751 hours,04/17/2021 1751 hours,"An officer documented information in reference to a recovered stolen vehicle, which occurred in the Z4-P parking lot.",Incident Report - Case Closed,General theft
210325,Wiggins Complex,04/17/2021 1354 hours,04/17/2021 1354 hours,"An officer arrested  a non-student for public intoxication, which occurred at the Wiggins Complex. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210323,Z2C Parking Lot,04/17/2021 1132 hours,Between04/16/2021 190004/17/2021 1115,"An officer investigated burglary of a motor vehicle, which occurred in the Z2-C parking lot. Multiple items and U.S. currency were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210322,19th Street,04/17/2021 0146 hours,04/17/2021 0146 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the 2800 block of 19th Street.",Cleared By Case Presentment,Possession of drug paraphernalia
210321,Flint Avenue Parking Garage,04/16/2021 2313 hours,04/16/2021 2313 hours,"An officer issued a  non-student a Lubbock County citation for possession of drug paraphernalia, which occurred in the Flint Avenue Parking Garage. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210320,West Village B Res. Hall,04/16/2021 1849 hours,04/16/2021 1849 hours,"An officer arrested  a non-student for criminal trespass, which occurred on the south side of West Village B Residence Hall. The non-student was re-issued a criminal trespass warning for all Texas Tech property and transported to  the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210319,Akron Avenue,04/16/2021 1658 hours,04/16/2021 1658 hours,"An officer arrested  a non-student for evading arrest or detention, which occurred in the 1600 block of Akron Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210318,West Village A Res. Hall,04/16/2021 1417 hours,Between04/14/2021 200004/16/2021 1300,"An officer investigated theft, which occurred at the east bicycle racks at West Village A Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210317,Z2D Parking Lot,04/16/2021 1333 hours,Between04/16/2021 020004/16/2021 1330,"An officer investigated burglary of a motor vehicle, which occurred in the Z2-D parking lot. Multiple items were moved inside of an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210324,Jones AT&T Stadium (Football),04/16/2021 1132 hours,04/16/2021 1130 hours,"An officer arrested  a non-student for criminal trespass, which occurred at Jones AT&T Stadium. The non-student was re-issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210316,Z6A Parking Lot,04/16/2021 1111 hours,04/16/2021 1100 hours,"An officer investigated a hit and run accident, which occurred in the Z6-A parking lot. A vehicle hit an occupied vehicle and left the area.",Open Inactive,Vehicle accident
210315,Transportation & Parking Services,04/16/2021 1017 hours,Between04/08/2021 141404/14/2021 1434,"An officer documented information in reference to found counterfeit money, which occurred at Transportation and Parking Services.",Incident Report - Case Closed,UNDEFINED
210314,Coleman Res. Hall,04/16/2021 0115 hours,04/16/2021 0115 hours,"An Officer documented information in reference to a welfare check on a student, which occurred at Coleman Residence Hall.",Incident Report - Case Closed,Welfare check
210313,Flint Avenue Parking Garage,04/15/2021 1454 hours,04/15/2021 1454 hours,"An officer issued two students Lubbock County citations for possession of drug paraphernalia, which occurred at the Flint Avenue Parking Garage. The students signed the citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
210312,Z1B Parking Lot,04/15/2021 1035 hours,Between04/15/2021 064504/15/2021 1035,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z1-B parking lot.",Open Inactive,Striking of unattended vehicle
210311,Z3L Parking Lot,04/15/2021 0845 hours,Between04/13/2021 210004/14/2021 1200,"An officer investigated burglary of a motor vehicle, which occurred in the Z3-L parking lot. U.S currency was stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
